cntr_01,name,ra_01,dec_01,designation,ra,dec,r_k20fe,j_m_5,j_msig_5,j_flg_5,h_m_5,h_msig_5,h_flg_5,k_m_5,k_msig_5,k_flg_5,j_m_7,j_msig_7,j_flg_7,h_m_7,h_msig_7,h_flg_7,k_m_7,k_msig_7,k_flg_7,j_m_10,j_msig_10,j_flg_10,h_m_10,h_msig_10,h_flg_10,k_m_10,k_msig_10,k_flg_10,j_m_15,j_msig_15,j_flg_15,h_m_15,h_msig_15,h_flg_15,k_m_15,k_msig_15,k_flg_15,j_m_20,j_msig_20,j_flg_20,h_m_20,h_msig_20,h_flg_20,k_m_20,k_msig_20,k_flg_20,j_m_25,j_msig_25,j_flg_25,h_m_25,h_msig_25,h_flg_25,k_m_25,k_msig_25,k_flg_25,j_m_30,j_msig_30,j_flg_30,h_m_30,h_msig_30,h_flg_30,k_m_30,k_msig_30,k_flg_30,j_m_40,j_msig_40,j_flg_40,h_m_40,h_msig_40,h_flg_40,k_m_40,k_msig_40,k_flg_40,j_m_50,j_msig_50,j_flg_50,h_m_50,h_msig_50,h_flg_50,k_m_50,k_msig_50,k_flg_50,j_m_60,j_msig_60,j_flg_60,h_m_60,h_msig_60,h_flg_60,k_m_60,k_msig_60,k_flg_60
1,1H0323+342,5.12E+01,3.42E+01,03244119+3410459,51.171658,34.179424,8.9,13.671,0.021,0,12.813,0.023,0,12.062,0.019,0,13.542,0.026,0,12.667,0.028,0,11.971,0.024,0,13.441,0.034,0,12.58,0.037,0,11.89,0.031,0,13.377,0.049,0,12.508,0.053,0,11.844,0.046,0,13.33,0.064,0,12.502,0.072,0,11.871,0.064,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2,1H1934-063,2.94E+02,-6.22E+00,19373299-0613046,294.387482,-6.217972,19.8,11.951,0.007,3,11.071,0.007,3,10.431,0.006,1,11.64,0.007,3,10.792,0.007,3,10.21,0.007,1,11.333,0.008,1,10.512,0.008,1,9.985,0.008,1,11.108,0.009,1,10.303,0.01,1,9.809,0.011,1,10.999,0.011,1,10.216,0.013,1,9.731,0.014,1,10.923,0.014,1,10.15,0.015,1,9.662,0.016,1,10.879,0.016,1,10.111,0.018,1,9.631,0.02,1,10.849,0.023,1,10.103,0.026,1,9.625,0.028,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
3,3C120,6.83E+01,5.35E+00,04331106+0521151,68.29612,5.354222,16.8,12.385,0.01,0,11.489,0.009,0,10.483,0.007,0,12.237,0.012,0,11.352,0.011,0,10.394,0.009,0,12.062,0.015,0,11.208,0.014,0,10.314,0.012,0,11.884,0.019,0,11.062,0.018,0,10.219,0.016,0,11.778,0.024,0,10.961,0.022,0,10.15,0.021,0,11.677,0.028,0,10.905,0.028,0,10.11,0.026,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
4,3C382,2.79E+02,3.27E+01,18350342+3241471,278.764252,32.696434,14.9,12.387,0.008,0,11.527,0.008,0,10.658,0.007,0,12.249,0.01,0,11.405,0.01,0,10.576,0.009,0,12.134,0.012,0,11.296,0.013,0,10.501,0.011,0,12.016,0.016,0,11.201,0.018,0,10.423,0.016,0,11.933,0.021,0,11.123,0.023,0,10.369,0.021,0,11.881,0.025,0,11.079,0.028,0,10.334,0.026,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
5,3C390.3,2.81E+02,7.98E+01,18420899+7946170,280.537476,79.771393,7.7,13.364,0.018,0,12.493,0.016,0,11.647,0.016,0,13.22,0.021,0,12.372,0.02,0,11.567,0.021,0,13.091,0.027,0,12.267,0.026,0,11.493,0.028,0,12.972,0.036,0,12.159,0.037,0,11.42,0.04,0,12.906,0.047,0,12.118,0.048,0,11.377,0.052,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
6,ARK120,7.90E+01,-1.50E-01,05161139-0008596,79.047478,-0.149903,16.1,11.795,0.005,0,10.943,0.006,0,10.118,0.004,0,11.672,0.006,0,10.831,0.008,0,10.048,0.006,0,11.557,0.007,0,10.73,0.01,0,9.984,0.007,0,11.449,0.01,0,10.671,0.014,0,9.92,0.011,0,11.386,0.013,0,10.641,0.019,0,9.867,0.014,0,11.338,0.016,0,10.618,0.023,0,9.838,0.017,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
7,ARK564,3.41E+02,2.97E+01,22423930+2943315,340.663788,29.72543,18.9,13.008,0.013,4,12.173,0.015,0,11.356,0.012,0,12.826,0.016,4,11.998,0.018,4,11.25,0.015,0,12.599,0.018,4,11.798,0.021,4,11.119,0.019,3,12.373,0.022,4,11.603,0.027,4,10.945,0.025,1,12.247,0.027,4,11.512,0.034,4,10.872,0.032,1,12.161,0.032,4,11.445,0.041,4,10.839,0.04,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
8,MCG-6-30-15,2.04E+02,-3.43E+01,13355380-3417437,203.974167,-34.295494,22.7,11.597,0.004,0,10.693,0.004,0,10.019,0.004,0,11.284,0.004,0,10.446,0.004,0,9.851,0.005,0,11.071,0.005,0,10.278,0.005,0,9.733,0.006,0,10.931,0.006,0,10.16,0.006,0,9.643,0.008,0,10.873,0.008,0,10.113,0.008,0,9.6,0.011,0,10.842,0.01,0,10.078,0.01,0,9.57,0.013,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
9,MCG-6-30-15,3.16E+01,-2.91E-01,02061600-0017292,31.56669,-0.291452,20.8,12.468,0.008,0,11.732,0.009,0,11.229,0.011,0,12.225,0.009,0,11.504,0.01,0,11.027,0.012,0,11.998,0.01,0,11.293,0.011,0,10.855,0.015,0,11.805,0.012,0,11.113,0.015,0,10.694,0.019,0,11.7,0.015,0,11.019,0.018,0,10.599,0.024,0,11.624,0.018,0,10.947,0.022,0,10.53,0.029,0,11.584,0.022,0,10.907,0.026,0,10.477,0.035,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
10,MRK110,1.41E+02,5.23E+01,09251286+5217102,141.303589,52.28619,7.5,13.592,0.021,3,12.849,0.03,3,12.055,0.022,3,13.454,0.026,3,12.702,0.037,3,11.966,0.028,3,13.329,0.033,3,12.568,0.047,1,11.893,0.037,3,13.223,0.046,3,12.401,0.061,1,11.839,0.054,3,13.124,0.057,3,12.355,0.08,1,11.757,0.069,3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
11,MRK279,2.08E+02,6.93E+01,13530333+6918289,208.263901,69.308044,17.5,12.087,0.006,0,11.22,0.005,0,10.407,0.005,0,11.938,0.007,0,11.087,0.007,0,10.314,0.006,0,11.801,0.008,0,10.964,0.008,0,10.242,0.007,0,11.64,0.01,0,10.842,0.011,0,10.158,0.01,0,11.541,0.013,0,10.761,0.014,0,10.119,0.014,0,11.482,0.016,0,10.729,0.018,0,10.091,0.017,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
12,MRK335,1.58E+00,2.02E+01,00061958+2012105,1.58159,20.20294,15.1,null,null,null,null,null,null,null,null,null,12.152,0.018,0,11.129,0.018,0,10.089,0.016,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
13,MRK509,3.11E+02,-1.07E+01,20440975-1043245,311.040649,-10.723487,13.5,11.836,0.006,0,11.039,0.007,0,10.172,0.005,0,11.743,0.008,0,10.954,0.009,0,10.113,0.007,0,11.67,0.01,0,10.877,0.012,0,10.064,0.009,0,11.611,0.015,0,10.807,0.017,0,10.012,0.013,0,11.57,0.019,0,10.777,0.022,0,9.973,0.017,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
14,MRK590,3.36E+01,-7.67E-01,02143357-0046002,33.639912,-0.766745,27.3,11.835,0.004,0,11.013,0.005,0,10.324,0.004,0,11.62,0.005,0,10.812,0.005,0,10.174,0.005,0,11.421,0.005,0,10.623,0.006,0,10.029,0.006,0,11.2,0.007,0,10.425,0.007,0,9.875,0.008,0,11.047,0.008,0,10.283,0.009,0,9.759,0.01,0,10.929,0.009,0,10.183,0.01,0,9.677,0.012,0,10.858,0.01,3,10.118,0.012,3,9.612,0.014,3,10.785,0.014,3,10.04,0.016,3,9.545,0.019,3,10.755,0.018,3,10.031,0.022,3,9.521,0.026,3,null,null,null,null,null,null,null,null,null
