Target,Inner Region,Outer Region
1H0323+342,"5""","30"""
1H1934-063,"5""","20"""
3C120,"5""","30"""
3C382,"5""","30"""
3C390.3,"5""","30"""
ARK120,"5""","30"""
ARK564,"5""","30"""
MCG-6-30-15,"5""","30"""
MRK1018,"5""","30"""
MRK110,"5""","30"""
MRK279,"5""","30"""
MRK335,"5""","30"""
MRK509,"5""","30"""
MRK590,"5""","30"""
MRK79,"5""","30"""
MRK841,"5""","30"""
NGC1365,"5""","30"""
NGC3783,"5""","30"""
NGC4051,"5""","30"""
NGC4151,"5""","30"""
NGC4748,"5""","30"""
NGC7469,"5""","10"""
PG0804+761,"5""","30"""
PG1426+015,"5""","30"""
RBS1124,"5""","30"""
UGC6728,"5""","30"""
PG0844+349,"5""","30"""
