Observation ID,Filter,Magnitude_5.0,Magnitude_7.0,Magnitude_10.0,Magnitude_15.0,Magnitude_20.0,Magnitude_25.0,Magnitude_30.0,Magnitude_35.0
00096107001,um2,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
00096107002,uw1,15.612621,15.541766,15.479832,15.390167,15.294138,15.246456,15.23359,15.146131
00096107003,uw2,43.584927,43.547146,43.515667,43.476833,43.448757,43.443497,43.443348,43.4319
00096107004,uw1,15.683937,15.609244,15.54464,15.456563,15.361145,15.282494,15.214955,15.143376
00096107004,um2,16.005682,15.964205,15.920113,15.878506,15.891709,15.901066,15.8918295,15.872108
00096107005,uw2,16.157837,16.092096,16.03779,15.969369,15.941164,15.901265,15.904936,15.915066
00096107005,uuu,15.661333,15.573935,15.498823,15.421921,15.361965,15.298137,15.259211,15.170107
00096108001,uw1,14.983556,14.764066,14.514386,14.356591,14.288849,14.237702,14.2272835,14.2219095
00096108001,uw2,15.439644,15.217629,14.989418,14.831055,14.770828,14.735138,14.718202,14.712421
00096108001,um2,15.564168,15.328908,15.100932,14.957824,14.899812,14.873433,14.873931,14.878052
00096108001,uuu,14.5247965,14.298169,14.029534,13.839274,13.734828,13.632602,13.585277,13.529536
00096109001,um2,15.004698,14.939078,14.878189,14.803541,14.744551,14.718387,14.698759,14.672494
00096110001,um2,15.435959,15.378763,15.32687,15.254102,15.202667,15.169384,15.142171,15.130699
00096111001,uuu,14.720933,14.659614,14.603717,14.52573,14.459029,14.412581,14.374099,14.316826
00096112001,uw1,12.9178295,12.864784,12.808731,12.7354765,12.677722,12.631296,12.6003065,12.569693
00096112001,um2,13.070503,13.014392,12.96454,12.902359,12.854024,12.821376,12.802558,12.784905
00096113001,uuu,14.383286,14.258081,14.086152,13.823775,13.664953,13.5546055,13.456324,13.349134
00096113003,uw1,14.426327,14.319744,14.18012,13.959969,13.8533325,13.794361,13.754688,13.713419
00096113003,um2,14.585015,14.492602,14.35884,14.145915,14.045898,13.994962,13.969392,13.945728
00096114001,uw2,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
00096114001,um2,16.932657,16.763096,16.600399,16.38167,16.232279,16.125105,16.049738,15.955917
00096115001,um2,17.527208,17.365395,17.17871,17.02687,16.993801,16.882092,16.853075,16.767654
00096115002,uw1,17.000797,16.803415,16.587734,16.340506,16.198784,16.096678,16.03022,15.962911
00096115003,uw2,17.44881,17.30012,17.121902,16.922823,16.772026,16.68223,16.612518,16.556398
00096115003,uuu,16.394592,16.11192,15.825356,15.562273,15.398092,15.270006,15.200052,15.100891
00096116001,uw2,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
00096116002,um2,56.42762,56.391476,56.366047,56.336727,56.316757,56.30275,56.296967,56.291916
00096117001,um2,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
00096117002,uw1,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
00096117004,um2,14.568409,14.501747,14.441239,14.364399,14.317733,14.2981825,14.298405,14.293114
00096117005,uw1,13.766833,13.707663,13.647605,13.562252,13.497298,13.4571295,13.424142,13.388583
00096118001,um2,13.777111,13.668277,13.616075,13.552606,13.510588,13.496648,13.48713,13.480578
00096118002,uuu,13.809168,13.752704,13.6919,13.60901,13.524449,13.457103,13.416843,13.363665
00096118003,um2,13.720591,13.66489,13.620898,13.571297,13.536028,13.5141735,13.507172,13.501322
00096118004,uw1,13.674258,13.617138,13.570213,13.512098,13.465841,13.438021,13.422573,13.406756
00096118005,uuu,13.8819065,13.814421,13.750444,13.662463,13.586745,13.529143,13.482794,13.434965
00096118006,um2,13.785053,13.73383,13.692533,13.640486,13.60454,13.587259,13.578705,13.57254
00096119001,um2,12.154423,12.099613,12.049943,11.984453,11.936047,11.914214,11.906274,11.900628
00096119002,uw1,12.227621,12.182364,12.1329975,12.061678,12.0063925,11.975963,11.958955,11.94322
00096119003,uuu,12.450471,12.404043,12.336585,12.208187,12.092239,12.004583,11.943101,11.877446
00096120001,uw2,15.504073,15.34606,15.121826,14.868625,14.6484,14.495863,14.414291,14.372307
00096120002,uw2,15.413616,15.257552,15.0412855,14.79762,14.581581,14.441203,14.357192,14.32718
00096120002,uuu,15.222835,14.983604,14.690799,14.359438,14.088328,13.888428,13.744246,13.618368
00096120003,uw1,15.14243,14.980129,14.760598,14.514472,14.304495,14.163826,14.074873,14.016972
