Observation ID,Filter,Magnitude_5.0,Magnitude_Error_5.0,Flux_5.0,Flux_Error_5.0,Magnitude_7.0,Magnitude_Error_7.0,Flux_7.0,Flux_Error_7.0,Magnitude_10.0,Magnitude_Error_10.0,Flux_10.0,Flux_Error_10.0,Magnitude_15.0,Magnitude_Error_15.0,Flux_15.0,Flux_Error_15.0,Magnitude_20.0,Magnitude_Error_20.0,Flux_20.0,Flux_Error_20.0,Magnitude_25.0,Magnitude_Error_25.0,Flux_25.0,Flux_Error_25.0,Magnitude_30.0,Magnitude_Error_30.0,Flux_30.0,Flux_Error_30.0,Magnitude_35.0,Magnitude_Error_35.0,Flux_35.0,Flux_Error_35.0
00096107001,um2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00096107002,uw1,15.612621,0.026391895,2.265324e-15,5.5065122e-17,15.541766,0.026426837,2.4180908e-15,5.885637e-17,15.479832,0.027388055,2.5600362e-15,6.457776e-17,15.390167,0.029655203,2.7804295e-15,7.594313e-17,15.294138,0.031928677,3.0375531e-15,8.932653e-17,15.246456,0.03541395,3.1739227e-15,1.03525273e-16,15.23359,0.040169753,3.2117588e-15,1.1882771e-16,15.146131,0.042436432,3.481183e-15,1.3606342e-16
00096107003,uw2,15.877385,0.040823318,2.3895443e-15,9.075405e-17,15.820718,0.040597387,2.518358e-15,9.515408e-17,15.773502,0.041426178,2.630723e-15,1.01418425e-16,15.715247,0.04420702,2.7717205e-15,1.136404e-16,15.673136,0.04818865,2.8813018e-15,1.2872484e-16,15.665242,0.054273702,2.9012623e-15,1.4579028e-16,15.665022,0.061718613,2.9020221e-15,1.658332e-16,15.64785,0.069355324,2.9478275e-15,1.8917662e-16
00096107004,uw1,15.683937,0.03235565,2.1229337e-15,6.2837086e-17,15.609244,0.03213393,2.2729695e-15,6.7022905e-17,15.54464,0.032968596,2.4120813e-15,7.305408e-17,15.456563,0.035264842,2.6155598e-15,8.4899376e-17,15.361145,0.0376429,2.85605e-15,9.908565e-17,15.282494,0.04055689,3.0704138e-15,1.1470135e-16,15.214955,0.043689564,3.2681108e-15,1.3185086e-16,15.143376,0.046693835,3.4911066e-15,1.5058139e-16
00096107004,um2,16.005682,0.05100056,1.8390284e-15,8.6906666e-17,15.964205,0.051115714,1.9102757e-15,9.036326e-17,15.920113,0.052247655,1.9889945e-15,9.593344e-17,15.878506,0.05605556,2.0666958e-15,1.06947955e-16,15.891709,0.063665524,2.0418568e-15,1.1929301e-16,15.901066,0.073118314,2.0254874e-15,1.351715e-16,15.8918295,0.08305913,2.043128e-15,1.5469225e-16,15.872108,0.09367013,2.0812061e-15,1.7734469e-16
00096107005,uw2,16.157837,0.02527752,1.8419403e-15,4.288305e-17,16.092096,0.025014704,1.956914e-15,4.508611e-17,16.03779,0.02538918,2.0572868e-15,4.8108206e-17,15.969369,0.026779285,2.1911038e-15,5.404277e-17,15.941164,0.029368436,2.248769e-15,6.082769e-17,15.901265,0.032224618,2.3329454e-15,6.924174e-17,15.904936,0.03667384,2.3250722e-15,7.853595e-17,15.915066,0.042078055,2.3034798e-15,8.9272104e-17
00096107005,uuu,15.661333,0.013629124,1.9192047e-15,2.409156e-17,15.573935,0.013397573,2.0800819e-15,2.5667421e-17,15.498823,0.013558788,2.2290769e-15,2.7836947e-17,15.421921,0.01435933,2.392688e-15,3.164433e-17,15.361965,0.015349719,2.5285323e-15,3.5747414e-17,15.298137,0.016178135,2.6816343e-15,3.9957995e-17,15.259211,0.01718107,2.7795234e-15,4.398415e-17,15.170107,0.017146628,3.0172535e-15,4.7650365e-17
00096108001,uw1,14.983556,0.035160456,4.046598e-15,1.315547e-16,14.764066,0.031703807,4.9524526e-15,1.4525497e-16,14.514386,0.02818962,6.2329174e-15,1.6271772e-16,14.356591,0.026706703,7.2089255e-15,1.7866318e-16,14.288849,0.026885971,7.677372e-15,1.9190679e-16,14.237702,0.027741306,8.0422145e-15,2.0701565e-16,14.2272835,0.029794827,8.119188e-15,2.2419226e-16,14.2219095,0.03246926,8.16176e-15,2.4585023e-16
00096108001,uw2,15.439644,0.035457876,3.57085e-15,1.1565702e-16,15.217629,0.032102834,4.382083e-15,1.2824248e-16,14.989418,0.02909939,5.40838e-15,1.4319579e-16,14.831055,0.02774013,6.256172e-15,1.5817222e-16,14.770828,0.02820102,6.6127104e-15,1.7002498e-16,14.735138,0.0295144,6.8360815e-15,1.8344472e-16,14.718202,0.03165296,6.9449163e-15,1.9960077e-16,14.712421,0.03451316,6.9785727e-15,2.19495e-16
00096108001,um2,15.564168,0.03721408,2.7635466e-15,9.3892146e-17,15.328908,0.03354258,3.4334724e-15,1.05204066e-16,15.100932,0.03053891,4.2360452e-15,1.180948e-16,14.957824,0.029646916,4.8341106e-15,1.3047403e-16,14.899812,0.030443529,5.100139e-15,1.412682e-16,14.873433,0.03233766,5.2275464e-15,1.5337527e-16,14.873931,0.03562843,5.233379e-15,1.6760891e-16,14.878052,0.039653122,5.2150836e-15,1.856388e-16
