Observation ID,Name,Filter,Pt./Ext.,Magnitude_5.0,Magnitude_7.0,Magnitude_10.0,Magnitude_15.0,Magnitude_20.0,Magnitude_25.0,Magnitude_30.0,Magnitude_35.0,Pipeline,Comments
96107001,1H0323+342,um2,Point,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.98,
96107002,1H0323+342,uw1,Point,15.61,15.54,15.48,15.39,15.29,15.25,15.23,15.15,15.60,
96107003,1H0323+342,uw2,Point,15.88,15.82,15.77,15.72,15.67,15.67,15.67,15.65,15.92,
96107004,1H0323+342,uw1,Point,15.68,15.61,15.54,15.46,15.36,15.28,15.21,15.14,,
96107004,1H0323+342,um2,Point,16.01,15.96,15.92,15.88,15.89,15.90,15.89,15.87,15.99,
96107005,1H0323+342,uw2,Point,16.16,16.09,16.04,15.97,15.94,15.90,15.90,15.92,16.10,
96107005,1H0323+342,uuu,Point,15.66,15.57,15.50,15.42,15.36,15.30,15.26,15.17,,
96108001,1H1934-063,uw1,Extended,14.98,14.76,14.51,14.36,14.29,14.24,14.23,14.22,14.38,
96108001,1H1934-063,uw2,Extended,15.44,15.22,14.99,14.83,14.77,14.74,14.72,14.71,14.79,
96108001,1H1934-063,um2,Extended,15.56,15.33,15.10,14.96,14.90,14.87,14.87,14.88,14.94,
96108001,1H1934-063,uuu,Extended,14.52,14.30,14.03,13.84,13.73,13.63,13.59,13.53,13.50,
96109001,3C120,um2,Point,15.00,14.94,14.88,14.80,14.74,14.72,14.70,14.67,14.89,
96110001,3C382,um2,Point,15.44,15.38,15.33,15.25,15.20,15.17,15.14,15.13,15.38,
96111001,3C390.3,uuu,Point,14.72,14.66,14.60,14.53,14.46,14.41,14.37,14.32,14.55,
96112001,ARK120,uw1,Point,12.92,12.86,12.81,12.74,12.68,12.63,12.60,12.57,12.60,
96112001,ARK120,um2,Point,13.07,13.01,12.96,12.90,12.85,12.82,12.80,12.78,12.83,
96113001,ARK564,uuu,Extended,14.38,14.26,14.09,13.82,13.66,13.55,13.46,13.35,13.54,
96113003,ARK564,uw1,Extended,14.43,14.32,14.18,13.96,13.85,13.79,13.75,13.71,13.83,
96113003,ARK564,um2,Extended,14.59,14.49,14.36,14.15,14.05,13.99,13.97,13.95,14.12,
96114001,MCG-6-30-15,uw2,Extended,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
96114001,MCG-6-30-15,um2,Extended,16.93,16.76,16.60,16.38,16.23,16.13,16.05,15.96,16.76,
96115001,MRK1018,um2,Extended,17.53,17.37,17.18,17.03,16.99,16.88,16.85,16.77,17.35,
96115002,MRK1018,uw1,Extended,17.00,16.80,16.59,16.34,16.20,16.10,16.03,15.96,16.49,
96115003,MRK1018,uw2,Extended,17.45,17.30,17.12,16.92,16.77,16.68,16.61,16.56,17.18,
96115003,MRK1018,uuu,Extended,16.39,16.11,15.83,15.56,15.40,15.27,15.20,15.10,15.69,
96116001,MRK110,uw2,Point,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
96116002,MRK110,um2,Point,13.86,13.78,13.73,13.67,13.63,13.61,13.59,13.58,13.66,
96117001,MRK279,um2,Point,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
96117002,MRK279,uw1,Point,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
96117004,MRK279,um2,Point,14.57,14.50,14.44,14.36,14.32,14.30,14.30,14.29,14.50,
96117005,MRK279,uw1,Point,13.77,13.71,13.65,13.56,13.50,13.46,13.42,13.39,13.47,
96118001,MRK335,um2,Point,13.78,13.67,13.62,13.55,13.51,13.50,13.49,13.48,13.60,
96118002,MRK335,uuu,Point,13.81,13.75,13.69,13.61,13.52,13.46,13.42,13.36,13.53,
96118003,MRK335,um2,Point,13.72,13.66,13.62,13.57,13.54,13.51,13.51,13.50,13.53,
96118004,MRK335,uw1,Point,13.67,13.62,13.57,13.51,13.47,13.44,13.42,13.41,13.44,
96118005,MRK335,uuu,Point,13.88,13.81,13.75,13.66,13.59,13.53,13.48,13.43,13.68,
96118006,MRK335,um2,Point,13.79,13.73,13.69,13.64,13.60,13.59,13.58,13.57,13.63,
96119001,MRK509,um2,Point,12.15,12.10,12.05,11.98,11.94,11.91,11.91,11.90,11.86,"For a pt. source, this is one of the three that converges to pipeline magnitude at 35"" aperture"
96119002,MRK509,uw1,Point,12.23,12.18,12.13,12.06,12.01,11.98,11.96,11.94,11.94,
96119003,MRK509,uuu,Point,12.45,12.40,12.34,12.21,12.09,12.00,11.94,11.88,11.72,
96120001,MRK590,uw2,Extended,15.50,15.35,15.12,14.87,14.65,14.50,14.41,14.37,14.74,
96120002,MRK590,uw2,Extended,15.41,15.26,15.04,14.80,14.58,14.44,14.36,14.33,14.33,
96120002,MRK590,uuu,Extended,15.22,14.98,14.69,14.36,14.09,13.89,13.74,13.62,13.51,
96120003,MRK590,uw1,Extended,15.14,14.98,14.76,14.51,14.30,14.16,14.07,14.02,13.99,
96120003,MRK590,um2,Extended,15.31,15.17,14.97,14.74,14.54,14.39,14.30,14.26,14.59,
96121001,MRK79,um2,Point,14.05,13.98,13.91,13.79,13.70,13.65,13.62,13.60,13.65,
96122001,MRK841,um2,Point,13.13,13.08,13.03,12.98,12.94,12.92,12.91,12.90,12.95,
96122002,MRK841,uw2,Point,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
96122002,MRK841,uuu,Point,13.49,13.44,13.37,13.25,13.13,13.02,12.91,12.79,13.34,
96123001,NGC1365,uw1,Extended,14.42,13.81,13.37,12.89,12.65,12.49,12.36,12.26,13.04,
96123001,NGC1365,uuu,Extended,14.20,13.56,13.08,12.56,12.27,12.05,11.87,11.74,11.73,
96123002,NGC1365,uw1,Extended,14.47,13.84,13.39,12.89,12.66,12.49,12.36,12.26,13.01,
96123003,NGC1365,um2,Extended,14.79,14.18,13.73,13.20,12.98,12.85,12.73,12.65,13.81,
96123004,NGC1365,uw1,Extended,14.53,13.89,13.44,12.95,12.71,12.55,12.41,12.31,13.45,
96123004,NGC1365,uuu,Extended,14.20,13.57,13.09,12.57,12.28,12.06,11.88,11.75,11.73,
