Name,Target ID,Observation ID,Filter,Exposure Time (s),Date/Time of Observation,RA (J2000),Dec (J2000),RA (deg),Dec (deg),2MASS RA (deg),2MASS Dec (deg),Redshift
1H0323+342,96107,00096107001,UVM2,302.6,2021-07-07T11:16:48,3:24:41.1497,+34:10:46.479,51.1715,34.1796,51.1717,34.1794,0.0629
1H0323+342,96107,00096107002,UVW1,455.2,2021-07-08T16:08:13,3:24:41.1497,+34:10:46.479,51.1715,34.1796,51.1717,34.1794,0.0629
1H0323+342,96107,00096107003,UVW2,180.7,2021-07-10T02:53:52,3:24:41.1497,+34:10:46.479,51.1715,34.1796,51.1717,34.1794,0.0629
1H0323+342,96107,00096107004,UVW1,449.9,2021-07-12T04:27:18,3:24:41.1497,+34:10:46.479,51.1715,34.1796,51.1717,34.1794,0.0629
1H0323+342,96107,00096107004,UVM2,447.9,2021-07-11T15:48:20,3:24:41.1497,+34:10:46.479,51.1715,34.1796,51.1717,34.1794,0.0629
1H0323+342,96107,00096107005,UVW2,876.4,2021-09-20T00:10:05,3:24:41.1497,+34:10:46.479,51.1715,34.1796,51.1717,34.1794,0.0629
1H0323+342,96107,00096107005,U,742.5,2021-09-19T00:16:37,3:24:41.1497,+34:10:46.479,51.1715,34.1796,51.1717,34.1794,0.0629
1H1934-063,96108,00096108001,U,53.9,2021-04-23T01:05:23,19:37:33.0341,-6:13:04.098,294.3876,-6.2178,294.3875,-6.218,0.01
1H1934-063,96108,00096108001,UVW2,268.5,2021-04-23T01:07:24,19:37:33.0341,-6:13:04.098,294.3876,-6.2178,294.3875,-6.218,0.01
1H1934-063,96108,00096108001,V,53.9,2021-04-23T01:12:02,19:37:33.0341,-6:13:04.098,294.3876,-6.2178,294.3875,-6.218,0.01
1H1934-063,96108,00096108001,UVM2,348.4,2021-04-23T01:13:01,19:37:33.0341,-6:13:04.098,294.3876,-6.2178,294.3875,-6.218,0.01
1H1934-063,96108,00096108001,B,53.9,2021-04-23T01:06:22,19:37:33.0341,-6:13:04.098,294.3876,-6.2178,294.3875,-6.218,0.01
1H1934-063,96108,00096108001,UVW1,161.2,2021-04-23T01:02:35,19:37:33.0341,-6:13:04.098,294.3876,-6.2178,294.3875,-6.218,0.01
3C120,96109,00096109001,UVM2,625.5,2021-04-06T05:23:20,4:33:11.0851,+5:21:15.254,68.2962,5.3542,68.2961,5.3542,0.03301
3C382,96110,00096110001,UVM2,404.7,2021-06-09T13:32:41,18:35:03.3840,+32:41:46.680,278.7641,32.6963,278.7643,32.6964,0.055565
3C382,96110,00096110002,UVW2,664.8,2021-06-16T19:32:40,18:35:03.3840,+32:41:46.680,278.7641,32.6963,278.7643,32.6964,0.055565
3C382,96110,00096110003,U,189.9,2021-06-27T13:19:43,18:35:03.3840,+32:41:46.680,278.7641,32.6963,278.7643,32.6964,0.055565
3C382,96110,00096110004,UVM2,215.6,2021-06-29T23:10:16,18:35:03.3840,+32:41:46.680,278.7641,32.6963,278.7643,32.6964,0.055565
3C390.3,96111,00096111001,U,410.2,2021-05-18T01:39:59,18:42:09.0239,+79:46:17.404,280.5376,79.7715,280.5375,79.7714,0.056135
