Name,Target ID,Observation ID,Filter,Exposure Time,Date/Time of Observation,RA (J2000),Dec (J2000),RA (degrees),Dec (degrees),2MASS RA (degrees),2MASS Dec (degrees),Redshift
1H0323+342,96107,96107001,UVM2,307.432,2021-07-07T11:16:48,24:41.2,+34:10:46.479,51.171,34.180,51.172,34.179,0.063
1H0323+342,96107,96107002,UVW1,462.511,2021-07-08T16:08:13,24:41.2,+34:10:46.479,51.171,34.180,51.172,34.179,0.063
1H0323+342,96107,96107003,UVW2,52503.691,2021-07-10T02:53:52,24:41.2,+34:10:46.479,51.171,34.180,51.172,34.179,0.063
1H0323+342,96107,96107004,UVW1,69096.966,2021-07-12T04:27:18,24:41.2,+34:10:46.479,51.171,34.180,51.172,34.179,0.063
1H0323+342,96107,96107004,UVM2,29435.142,2021-07-11T15:48:20,24:41.2,+34:10:46.479,51.171,34.180,51.172,34.179,0.063
1H0323+342,96107,96107005,UVW2,890.478,2021-09-20T00:10:05,24:41.2,+34:10:46.479,51.171,34.180,51.172,34.179,0.063
1H0323+342,96107,96107005,U,754.387,2021-09-19T00:16:37,24:41.2,+34:10:46.479,51.171,34.180,51.172,34.179,0.063
1H1934-063,96108,96108001,U,80381.911,2021-04-23T01:05:23,37:33.0,-6:13:04.098,294.388,-6.218,294.387,-6.218,0.010
1H1934-063,96108,96108001,UVW2,80775.897,2021-04-23T01:07:24,37:33.0,-6:13:04.098,294.388,-6.218,294.387,-6.218,0.010
1H1934-063,96108,96108001,V,80586.439,2021-04-23T01:12:02,37:33.0,-6:13:04.098,294.388,-6.218,294.387,-6.218,0.010
1H1934-063,96108,96108001,UVM2,81233.961,2021-04-23T01:13:01,37:33.0,-6:13:04.098,294.388,-6.218,294.387,-6.218,0.010
1H1934-063,96108,96108001,B,80410.928,2021-04-23T01:06:22,37:33.0,-6:13:04.098,294.388,-6.218,294.387,-6.218,0.010
1H1934-063,96108,96108001,UVW1,80461.739,2021-04-23T01:02:35,37:33.0,-6:13:04.098,294.388,-6.218,294.387,-6.218,0.010
3C120,96109,96109001,UVM2,17315.474,2021-04-06T05:23:20,33:11.1,+5:21:15.254,68.296,5.354,68.296,5.354,0.033
3C382,96110,96110001,UVM2,411.219,2021-06-09T13:32:41,35:03.4,+32:41:46.680,278.764,32.696,278.764,32.696,0.056
3C382,96110,96110002,UVW2,675.413,2021-06-16T19:32:40,35:03.4,+32:41:46.680,278.764,32.696,278.764,32.696,0.056
3C382,96110,96110003,U,192.955,2021-06-27T13:19:43,35:03.4,+32:41:46.680,278.764,32.696,278.764,32.696,0.056
3C382,96110,96110004,UVM2,219.025,2021-06-29T23:10:16,35:03.4,+32:41:46.680,278.764,32.696,278.764,32.696,0.056
3C390.3,96111,96111001,U,12236.853,2021-05-18T01:39:59,42:09.0,+79:46:17.404,280.538,79.772,280.537,79.771,0.056
ARK120,96112,96112001,UVW1,584.899,2021-04-19T00:35:11,16:11.4,-0:08:59.267,79.047,-0.150,79.047,-0.150,0.033
ARK120,96112,96112001,UVM2,23907.098,2021-04-18T16:39:28,16:11.4,-0:08:59.267,79.047,-0.150,79.047,-0.150,0.033
ARK564,96113,96113001,U,1199.543,2021-04-24T01:09:56,42:39.4,+29:43:31.316,340.664,29.725,340.664,29.725,0.025
ARK564,96113,96113003,UVW1,6188.387,2021-05-01T14:57:10,42:39.4,+29:43:31.316,340.664,29.725,340.664,29.725,0.025
ARK564,96113,96113003,UVM2,525.200,2021-04-30T08:40:10,42:39.4,+29:43:31.316,340.664,29.725,340.664,29.725,0.025
MCG-6-30-15,96114,96114001,UVM2,320.197,2021-08-16T04:34:35,35:53.8,-34:17:44.323,203.974,-34.296,203.974,-34.295,0.008
MCG-6-30-15,96114,96114001,UVW2,681.713,2021-08-15T06:24:34,35:53.8,-34:17:44.323,203.974,-34.296,203.974,-34.295,0.008
MRK1018,96115,96115001,UVM2,29915.822,2021-06-09T15:41:20,06:16.0,-0:17:28.704,31.567,-0.291,31.567,-0.291,0.043
MRK1018,96115,96115002,UVW1,46500.981,2021-06-10T11:04:55,06:16.0,-0:17:28.704,31.567,-0.291,31.567,-0.291,0.043
MRK1018,96115,96115003,U,593.725,2021-06-11T21:57:02,06:16.0,-0:17:28.821,31.567,-0.291,31.567,-0.291,0.043
MRK1018,96115,96115003,UVW2,34980.705,2021-06-12T01:15:55,06:16.0,-0:17:28.821,31.567,-0.291,31.567,-0.291,0.043
MRK110,96116,96116001,UVW2,827.513,2021-06-16T01:03:08,25:12.9,+52:17:10.885,141.304,52.286,141.304,52.286,0.035
MRK110,96116,96116002,UVM2,35121.109,2021-09-09T05:05:34,25:12.9,+52:17:10.885,141.304,52.286,141.304,52.286,0.035
MRK279,96117,96117001,UVM2,710.288,2021-04-22T19:52:29,53:03.4,+69:18:30.331,208.264,69.308,208.264,69.308,0.030
MRK279,96117,96117002,UVW1,238.929,2021-05-13T03:43:57,53:03.4,+69:18:30.331,208.264,69.308,208.264,69.308,0.030
MRK279,96117,96117004,UVM2,711.976,2021-10-11T02:10:03,53:03.4,+69:18:30.331,208.264,69.308,208.264,69.308,0.030
MRK279,96117,96117005,UVW1,787.243,2021-11-09T09:53:48,53:03.4,+69:18:30.331,208.264,69.308,208.264,69.308,0.030
MRK335,96118,96118001,UVM2,91.816,2021-07-23T03:27:24,06:19.5,+20:12:10.936,1.581,20.203,1.582,20.203,0.026
MRK335,96118,96118002,U,146.958,2021-07-25T04:43:28,06:19.5,+20:12:10.285,1.581,20.203,1.582,20.203,0.026
MRK335,96118,96118003,UVM2,80600.300,2021-08-16T00:50:35,06:19.5,+20:12:10.936,1.581,20.203,1.582,20.203,0.026
MRK335,96118,96118004,UVW1,28898.355,2021-08-17T08:38:17,06:19.5,+20:12:10.945,1.581,20.203,1.582,20.203,0.026
MRK335,96118,96118005,U,70910.198,2021-08-18T00:08:05,06:19.5,+20:12:10.936,1.581,20.203,1.582,20.203,0.026
MRK335,96118,96118006,UVM2,57415.415,2021-08-24T03:06:00,06:19.5,+20:12:10.936,1.581,20.203,1.582,20.203,0.026
MRK509,96119,96119001,UVM2,342.649,2021-06-05T14:35:13,44:09.7,-10:43:24.984,311.041,-10.724,311.041,-10.723,0.034
MRK509,96119,96119002,UVW1,444.064,2021-07-08T12:41:31,44:09.7,-10:43:24.984,311.041,-10.724,311.041,-10.723,0.034
MRK509,96119,96119003,U,456.564,2021-07-09T09:21:19,44:09.7,-10:43:24.636,311.041,-10.724,311.041,-10.723,0.034
MRK590,96120,96120001,UVW2,406.133,2021-06-08T20:49:09,14:33.6,-0:46:00.015,33.640,-0.767,33.640,-0.767,0.026
MRK590,96120,96120002,U,64148.199,2021-06-11T04:27:47,14:33.6,-0:46:00.015,33.640,-0.767,33.640,-0.767,0.026
MRK590,96120,96120002,UVW2,57616.302,2021-06-12T04:29:39,14:33.6,-0:46:00.015,33.640,-0.767,33.640,-0.767,0.026
MRK590,96120,96120003,UVM2,552.065,2021-06-13T09:08:43,14:33.6,-0:46:00.015,33.640,-0.767,33.640,-0.767,0.026
MRK590,96120,96120003,UVW1,12484.100,2021-06-14T18:27:51,14:33.6,-0:46:00.015,33.640,-0.767,33.640,-0.767,0.026
MRK79,96121,96121001,UVM2,12798.176,2021-09-01T02:32:37,42:32.8,+49:48:34.920,115.637,49.810,115.637,49.810,0.022
MRK841,96122,96122001,UVM2,22988.211,2021-09-21T13:35:47,04:01.2,+10:26:15.960,226.005,10.438,226.005,10.438,0.036
MRK841,96122,96122002,UVW2,5952.282,2021-12-13T14:21:43,04:01.2,+10:26:15.960,226.005,10.438,226.005,10.438,0.036
MRK841,96122,96122002,U,993.426,2021-12-12T22:23:22,04:01.2,+10:26:15.960,226.005,10.438,226.005,10.438,0.036
NGC1365,96123,96123001,UVW1,531.544,2021-04-11T01:22:04,33:36.1,-36:08:25.424,53.400,-36.140,53.402,-36.141,0.005
NGC1365,96123,96123001,U,595.436,2021-04-12T02:48:00,33:36.1,-36:08:25.424,53.400,-36.140,53.402,-36.141,0.005
NGC1365,96123,96123002,UVW1,577.948,2021-04-19T19:41:18,33:36.1,-36:08:25.424,53.400,-36.140,53.402,-36.141,0.005
NGC1365,96123,96123003,UVM2,699.200,2021-04-22T06:35:16,33:36.1,-36:08:25.424,53.400,-36.140,53.402,-36.141,0.005
NGC1365,96123,96123004,U,825.924,2021-04-24T19:02:10,33:36.1,-36:08:25.424,53.400,-36.140,53.402,-36.141,0.005
NGC1365,96123,96123004,UVW1,46834.591,2021-04-23T01:38:21,33:36.1,-36:08:25.424,53.400,-36.140,53.402,-36.141,0.005
NGC3783,96124,96124001,U,1045.446,2021-07-21T15:01:30,39:01.8,-37:44:19.320,174.757,-37.739,174.757,-37.738,0.010
NGC3783,96124,96124003,UVM2,642.414,2021-08-12T08:15:13,39:01.8,-37:44:19.320,174.757,-37.739,174.757,-37.738,0.010
NGC3783,96124,96124004,UVW1,296.598,2021-08-13T04:48:59,39:01.8,-37:44:19.320,174.757,-37.739,174.757,-37.738,0.010
NGC4051,96125,96125001,UVM2,1303.639,2021-10-03T18:22:12,03:09.6,+44:31:52.695,180.790,44.531,180.790,44.531,0.002
NGC4051,96125,96125002,UVW1,24140.864,2022-03-29T16:18:34,03:09.6,+44:31:53.061,180.790,44.531,180.790,44.531,0.002
NGC4151,96126,96126001,UVM2,16885.650,2021-04-22T10:37:30,10:32.6,+39:24:20.853,182.636,39.406,182.636,39.406,0.003
NGC4151,96126,96126002,UVW2,151.537,2021-04-29T20:47:24,10:32.6,+39:24:20.853,182.636,39.406,182.636,39.406,0.003
NGC4748,96127,96127002,UVW1,5678.909,2021-08-05T01:11:16,52:12.5,-13:24:53.941,193.052,-13.415,193.052,-13.415,0.015
NGC4748,96127,96127003,UVW2,954.899,2021-08-07T08:36:01,52:12.5,-13:24:53.941,193.052,-13.415,193.052,-13.415,0.015
NGC4748,96127,96127004,UVW2,12969.549,2021-08-11T11:21:46,52:12.5,-13:24:53.941,193.052,-13.415,193.052,-13.415,0.015
NGC4748,96127,96127005,U,6730.961,2021-08-14T20:36:44,52:12.5,-13:24:53.941,193.052,-13.415,193.052,-13.415,0.015
NGC4748,96127,96127006,UVW1,24305.527,2021-08-17T10:49:50,52:12.5,-13:24:53.600,193.052,-13.415,193.052,-13.415,0.015
NGC7469,96128,96128001,U,17989.793,2021-04-28T13:29:06,03:15.6,+8:52:26.538,345.815,8.874,345.815,8.874,0.016
NGC7469,96128,96128002,UVW2,629.318,2021-04-29T21:23:26,03:15.6,+8:52:26.538,345.815,8.874,345.815,8.874,0.016
PG0804+761,96129,96129001,UVW1,343.819,2021-06-10T08:16:12,10:58.7,+76:02:43.033,122.745,76.045,,,0.100
PG0804+761,96129,96129002,UVW1,63538.446,2021-06-14T05:54:57,10:58.7,+76:02:43.033,122.745,76.045,,,0.100
PG0804+761,96129,96129003,UVW2,34987.858,2021-06-16T02:31:47,10:58.7,+76:02:43.033,122.745,76.045,,,0.100
PG0804+761,96129,96129004,UVM2,46232.933,2021-06-17T07:10:24,10:58.7,+76:02:43.033,122.745,76.045,,,0.100
PG0804+761,96129,96129005,UVW1,53010.377,2021-06-18T02:16:25,10:58.7,+76:02:43.033,122.745,76.045,,,0.100
PG1426+015,96130,96130001,UVW2,28120.569,2021-06-08T07:29:15,29:06.6,+1:17:06.760,217.277,1.285,217.277,1.285,0.087
PG1426+015,96130,96130002,UVW2,35665.031,2021-08-31T09:20:30,29:06.6,+1:17:06.760,217.277,1.285,217.277,1.285,0.087
PG1426+015,96130,96130003,UVW1,16754.743,2021-12-11T19:20:41,29:06.6,+1:17:06.760,217.277,1.285,217.277,1.285,0.087
PG1426+015,96130,96130005,UVW1,815.818,2022-03-13T00:58:20,29:06.6,+1:17:06.760,217.277,1.285,217.277,1.285,0.087
PG1426+015,96130,96130005,U,218.617,2022-03-14T22:59:17,29:06.6,+1:17:06.760,217.277,1.285,217.277,1.285,0.087
RBS1124,96131,96131001,UVW2,531.401,2021-04-29T06:07:04,31:36.5,+70:44:15.113,187.902,70.738,,,0.208
RBS1124,96131,96131002,U,58468.521,2021-09-23T00:19:27,31:36.5,+70:44:15.113,187.902,70.738,,,0.208
RBS1124,96131,96131003,UVW2,1154.043,2021-09-24T11:22:41,31:36.5,+70:44:15.113,187.902,70.738,,,0.208
RBS1124,96131,96131004,U,23668.815,2021-11-18T02:11:27,31:36.5,+70:44:15.113,187.902,70.738,,,0.208
RBS1124,96131,96131005,UVM2,1239.482,2022-02-24T08:48:16,31:36.5,+70:44:15.113,187.902,70.738,,,0.208
RBS1124,96131,96131006,UVW1,1271.974,2022-02-25T22:59:43,31:36.5,+70:44:15.113,187.902,70.738,,,0.208
UGC6728,96132,96132002,UVW1,334.132,2021-08-09T17:30:21,45:16.0,+79:40:54.082,176.317,79.682,176.317,79.682,0.007
UGC6728,96132,96132003,UVM2,1034.601,2021-09-05T19:59:41,45:16.0,+79:40:54.082,176.317,79.682,176.317,79.682,0.007
UGC6728,96132,96132004,UVW2,1105.951,2021-09-12T17:37:30,45:16.0,+79:40:54.082,176.317,79.682,176.317,79.682,0.007
UGC6728,96132,96132005,UVW1,1046.583,2021-09-14T15:36:29,45:16.0,+79:40:54.082,176.317,79.682,176.317,79.682,0.007
UGC6728,96132,96132006,U,585.374,2021-09-23T22:31:10,45:16.0,+79:40:54.082,176.317,79.682,176.317,79.682,0.007
UGC6728,96132,96132007,UVW2,722.745,2021-09-24T11:09:53,45:16.0,+79:40:54.082,176.317,79.682,176.317,79.682,0.007
UGC6728,96132,96132008,U,275.668,2021-10-25T23:01:20,45:16.0,+79:40:54.082,176.317,79.682,176.317,79.682,0.007
UGC6728,96132,96132011,UVW1,982.746,2022-02-21T21:53:33,45:16.0,+79:40:54.082,176.317,79.682,176.317,79.682,0.007
PG0844+349,96133,96133001,UVW2,34985.940,2021-06-04T11:49:49,47:42.5,+34:45:04.320,131.927,34.751,,,0.064
PG0844+349,96133,96133001,UVM2,63562.684,2021-06-05T03:46:33,47:42.5,+34:45:04.320,131.927,34.751,,,0.064
PG0844+349,96133,96133002,UVW2,51297.661,2021-06-08T08:28:58,47:42.5,+34:45:04.320,131.927,34.751,,,0.064
PG0844+349,96133,96133003,UVW1,41079.270,2021-06-10T03:15:16,47:42.5,+34:45:04.320,131.927,34.751,,,0.064
